,image,actual_x (in px),actual_y (in px),local_outer_centre_x (in px),local_outer_centre_y (in px),local_inner_centre_x (in px),local_inner_centre_y (in px),global_outer_centre_x (in px),global_outer_centre_y (in px),global_inner_centre_x (in px),global_inner_centre_y (in px),outer_centre_x (in mm),outer_centre_y (in mm),inner_centre_x (in mm),inner_centre_y (in mm),offset (in px),offset_microns
65,S066_018_999_008,6716,761,157,140,153,141,6733,761,6729,762,41.0,-4.0,41.0,-4.0,4.123105625617661,87.27240240890714
66,S067_178_177_166,6716,6695,166,144,159,142,6742,6699,6735,6697,42.0,122.0,41.0,122.0,7.280109889280518,154.0956593231043
67,S068_198_197_188,6716,7682,164,146,158,144,6740,7688,6734,7686,42.0,143.0,41.0,143.0,6.324555320336759,133.8697542804614
68,S069_028_038_027,7001,1585,163,145,155,139,7024,1590,7016,1584,48.0,13.0,47.0,13.0,10.0,211.66666666666666
69,S070_999_063_999,7000,2574,167,143,159,140,7027,2577,7019,2574,48.0,34.0,47.0,34.0,8.54400374531753,180.84807927588773
70,S071_078_092_077,7001,3562,166,144,157,141,7027,3566,7018,3563,48.0,55.0,47.0,55.0,9.486832980505138,200.8046314206921
71,S072_138_137_123,7001,5210,169,145,159,143,7030,5215,7020,5213,48.0,90.0,47.0,90.0,10.198039027185569,215.85849274209454
72,S073_189_999_999,7002,7188,165,146,158,145,7027,7194,7020,7193,48.0,132.0,47.0,132.0,7.0710678118654755,149.67093535115256
73,S074_153_999_152,7286,6035,169,144,158,142,7315,6039,7304,6037,54.0,108.0,53.0,108.0,11.180339887498949,236.65052761872775
74,S075_179_999_167,7287,6694,167,146,159,144,7314,6700,7306,6698,54.0,122.0,54.0,122.0,8.246211251235321,174.54480481781428
75,S076_051_050_039,7571,2244,167,145,156,142,7598,2249,7587,2246,60.0,27.0,59.0,27.0,11.40175425099138,241.3371316459842
76,S077_999_093_999,7572,3562,170,145,159,142,7602,3567,7591,3564,60.0,55.0,60.0,55.0,11.40175425099138,241.3371316459842
77,S078_109_124_108,7572,4551,168,145,159,142,7600,4556,7591,4553,60.0,76.0,60.0,76.0,9.486832980505138,200.8046314206921
78,S079_154_999_999,7596,5870,163,140,158,141,7619,5870,7614,5871,60.0,104.0,60.0,104.0,5.0990195135927845,107.92924637104727
79,S080_168_999_999,7572,6199,169,146,157,141,7601,6205,7589,6200,60.0,111.0,60.0,111.0,13.0,275.1666666666667
80,S081_065_079_064,7858,3068,169,144,158,142,7887,3072,7876,3070,66.0,45.0,66.0,45.0,11.180339887498949,236.65052761872775
81,S082_080_999_999,8143,3232,170,145,153,141,8173,3237,8156,3233,72.0,48.0,72.0,48.0,17.46424919657298,369.65994132746135
82,S083_140_155_139,8143,5540,173,145,159,141,8176,5545,8162,5541,72.0,97.0,72.0,97.0,14.560219778561036,308.1913186462086
83,S084_999_999_094,8429,4057,173,145,158,141,8462,4062,8447,4058,78.0,66.0,78.0,66.0,15.524174696260024,328.5950310708372
84,S085_126_999_125,8428,5046,174,144,161,141,8462,5050,8449,5047,78.0,87.0,78.0,87.0,13.341664064126334,282.3985560240074
85,S086_111_110_095,8715,4221,175,146,160,142,8750,4227,8735,4223,84.0,69.0,84.0,69.0,15.524174696260024,328.5950310708372
86,S087_999_999_999,857,3311,127,143,103,117,844,3314,820,3288,-83.0,50.0,-84.0,49.0,35.38361202590826,748.9531212150582
87,S088_999_999_999,3767,423,150,140,155,94,3777,423,3782,377,-21.0,-11.0,-21.0,-12.0,46.2709412050371,979.4015888399518
88,S089_999_999_999,7437,1333,163,145,194,116,7460,1338,7491,1309,57.0,8.0,57.0,8.0,42.44997055358225,898.524376717491
89,S090_999_999_999,8485,5299,174,144,201,163,8519,5303,8546,5322,79.0,92.0,80.0,92.0,33.015148038438355,698.8206334802785
90,S091_999_999_999,5860,8021,162,146,157,191,5882,8027,5877,8072,23.0,150.0,23.0,151.0,45.27692569068709,958.36159378621
91,S092_999_999_999,1903,6946,136,147,107,168,1899,6953,1870,6974,-61.0,127.0,-62.0,127.0,35.805027579936315,757.8730837753187
