,Area11,Area1,Area3,Area5,Area7,Area9
0,0.0,0.0,0,3888.5,0,0.0
1,0.0,3512.5,0,3474.0,0,3485.5
2,0.0,0.0,0,3291.5,0,3413.0
3,0.0,3258.0,0,3285.0,0,3395.0
4,0.0,3819.0,0,3410.0,0,3221.5
5,0.0,0.0,0,3080.0,0,3323.5
6,0.0,0.0,0,3511.5,0,0.0
7,0.0,3273.0,0,24.5,0,3273.0
8,0.0,0.0,0,3676.0,0,4246.5
9,0.0,0.0,0,3490.5,0,2621.5
10,0.0,0.0,0,3551.0,0,0.0
11,0.0,3464.0,0,3876.0,0,3206.0
12,0.0,0.0,0,3014.5,0,3673.0
13,0.0,3969.5,0,2961.0,0,3058.5
14,0.0,2981.5,0,3446.0,0,3690.5
15,0.0,0.0,0,3627.5,0,0.0
16,0.0,0.0,0,3894.5,0,3148.0
17,0.0,0.0,0,3765.0,0,0.0
18,0.0,0.0,0,3456.5,0,0.0
19,0.0,0.0,0,2597.0,0,0.0
20,0.0,4324.5,0,3035.5,0,3452.5
21,0.0,3983.0,0,2849.5,0,3442.5
22,0.0,0.0,0,2228.5,0,3824.0
23,0.0,3515.5,0,3738.5,0,3427.5
24,0.0,4088.0,0,3015.0,0,3173.0
25,0.0,0.0,0,3897.5,0,3087.5
26,67.5,2537.0,0,3747.5,0,3700.0
27,0.0,2747.0,0,3659.5,0,3822.0
28,0.0,3627.0,0,3372.0,0,3237.5
29,0.0,3450.0,0,3512.0,0,3539.5
30,0.0,3638.5,0,3654.5,0,3477.0
31,0.0,0.0,0,2573.5,0,4755.5
32,0.0,3730.0,0,2607.5,0,3197.0
33,0.0,0.0,0,3501.5,0,2675.5
34,0.0,3211.0,0,3390.0,0,3932.0
35,0.0,0.0,0,3787.0,0,3397.5
36,0.0,3531.5,0,3023.5,0,3083.0
37,0.0,0.0,0,2934.5,0,3760.5
38,5392.0,3210.5,0,3799.5,0,3151.0
39,0.0,0.0,0,3605.5,0,3635.5
40,0.0,3823.5,0,2767.0,0,3849.0
41,0.0,0.0,0,3854.5,0,0.0
42,0.0,0.0,0,3690.0,0,3323.5
43,0.0,3341.0,0,3097.5,0,3395.0
44,0.0,3449.5,0,3541.5,0,3349.0
45,0.0,0.0,0,3628.5,0,0.0
46,0.0,0.0,0,2701.0,0,0.0
47,0.0,0.0,0,2293.5,0,3733.5
48,0.0,2454.0,0,3556.0,0,3645.5
49,0.0,0.0,0,3354.0,0,3242.5
50,0.0,0.0,0,2896.0,0,3358.0
51,0.0,0.0,0,2480.0,0,3656.5
52,0.0,2996.0,0,3859.5,0,3923.0
53,0.0,0.0,0,3292.5,0,4830.0
54,0.0,3643.0,0,2605.5,0,3692.5
55,0.0,0.0,0,3005.0,0,3174.0
56,0.0,0.0,0,2928.0,0,4221.0
57,0.0,0.0,0,3416.0,0,0.0
58,0.0,0.0,0,3896.0,0,3075.0
59,0.0,0.0,0,3384.0,0,4098.5
60,0.0,3543.0,0,3448.5,0,3144.5
61,0.0,3166.0,0,3170.0,0,2964.5
62,0.0,0.0,0,3471.0,0,3519.5
63,0.0,0.0,0,3786.0,0,0.0
64,0.0,4628.0,0,3292.0,0,3332.5
65,0.0,0.0,0,3986.0,0,3099.5
66,0.0,0.0,0,2643.5,0,0.0
67,0.0,0.0,0,1984.5,0,3586.5
68,0.0,2848.5,0,3454.5,0,3536.0
69,0.0,0.0,0,3080.5,0,0.0
70,0.0,3272.0,0,3528.0,0,3578.5
71,0.0,0.0,0,2759.0,0,3402.0
72,0.0,0.0,0,0.0,0,0.0
73,0.0,0.0,0,2839.5,0,3291.0
74,0.0,0.0,0,2468.5,0,3612.0
75,0.0,0.0,0,3510.0,0,3775.5
76,0.0,0.0,0,3758.5,0,0.0
77,0.0,3633.5,0,3218.0,0,4047.0
78,0.0,0.0,0,3342.0,0,3344.0
79,0.0,0.0,0,3592.0,0,0.0
80,0.0,3450.5,0,3524.5,0,3162.0
81,0.0,0.0,0,3585.5,0,0.0
82,0.0,0.0,0,2970.5,0,3527.5
83,0.0,0.0,0,3938.0,0,0.0
84,0.0,0.0,0,3608.0,0,3599.0
85,0.0,3435.5,0,4054.0,0,3581.0
86,0.0,0.0,0,38696.5,0,0.0
87,0.0,0.0,0,3648.5,0,36162.0
88,0.0,0.0,0,0.0,0,0.0
89,0.0,0.0,0,132.5,0,0.0
90,0.0,0.0,0,34089.0,0,0.0
91,0.0,0.0,0,40.5,0,134.5
