,image,actual_x,actual_y,outer_centre_x,outer_centre_y,inner_centre_x,inner_centre_y,offset,offset_microns
0,S001_999_096_999.jpg,1915,11230,2162,11532,2208,11526,45.27692569068709,359.38559766982877
1,S002_082_081_066.jpg,2676,9911,2930,10208,2972,10204,42.2965719651132,335.72903997308606
2,S003_113_112_097.jpg,2675,12546,2932,12852,2976,12842,45.12205669071391,358.1563249825417
3,S004_128_141_127.jpg,3437,14745,3702,15046,3742,15038,39.81205847478876,316.0082141436358
4,S005_053_052_040.jpg,4198,7274,4464,7580,4504,7568,40.52159917870962,321.6401934810076
5,S006_114_113_098.jpg,4200,12546,4470,12850,4506,12842,38.07886552931954,302.2509951389739
6,S007_999_067_999.jpg,4960,8593,5234,8892,5268,8886,34.713109915419565,275.5353099536428
7,S008_142_999_999.jpg,5022,15625,5310,15924,5334,15922,24.08318915758459,191.1603139383277
8,S009_157_156_999.jpg,4960,16503,5238,16812,5274,16802,37.36308338453881,296.5694743647768
9,S010_999_041_029.jpg,5721,5516,6000,5818,6022,5810,24.351591323771842,193.290756132439
10,S011_054_999_999.jpg,5721,8153,6002,8454,6032,8448,30.59411708155671,242.84080433485641
11,S012_084_083_068.jpg,5720,9911,6002,10212,6032,10202,32.89376840679705,261.0942867289516
12,S013_999_143_129.jpg,5720,15185,6004,15490,6034,15482,31.04834939252005,246.4462733031279
13,S014_170_180_169.jpg,5717,18702,6024,19004,6036,19000,13.341664064126334,105.89945850900278
14,S015_020_030_019.jpg,6482,4198,6768,4500,6792,4490,26.92582403567252,213.72372828315062
15,S016_999_999_099.jpg,6482,12108,6770,12410,6796,12406,26.476404589747453,210.15646143112042
16,S017_010_009_001.jpg,7243,2000,7534,2306,7556,2296,24.166091947189145,191.81835483081383
17,S018_031_999_999.jpg,7243,4637,7534,4940,7556,4928,25.495097567963924,202.36733694571365
18,S019_070_999_999.jpg,7305,9032,7604,9336,7618,9326,16.401219466856727,130.18467951817527
19,S020_999_999_069.jpg,7242,9913,7538,10216,7554,10208,17.88854381999832,141.99031657123666
20,S021_116_115_100.jpg,7243,12548,7536,12854,7560,12846,25.298221281347036,200.8046314206921
21,S022_045_144_130.jpg,7242,15185,7536,15488,7562,15482,26.476404589747453,210.15646143112042
